id,garment_id,split,source_row,gender,category,type,brand,colors,size,cut,pattern,material,season,trend,usage,price,condition,pilling,holes,stains,smell,timestamp,station,period,productDisplayName,articleType,baseColour,image_path
train-0,0,train,0,Women,Ladies,Dress,Not in the list,Grey,42,C-collar,Floral print,100%polyester,Spring,,Export,<50,3,4,,Minor,Minor,2023_04_04_11_37_25,station1,apr2023,Dress,Dress,Grey,data/second_hand_clothing/images/train-0.webp
train-10,10,train,10,Women,Ladies,Top,Kappahl,Beige,M,Regular,,100% cotton,All,,Export,<50,4,4,,,Minor,2023_04_11_11_36_21,station1,apr2023,Kappahl Top,Top,Beige,data/second_hand_clothing/images/train-10.webp
train-100,100,train,91,Women,Ladies,Top,Not in the list,Multicolor / White / Green / Pink,XL,Regular,Floral print,100% cotton,All,,Export,<50,2,3,,,,2023_04_14_12_31_26,station1,apr2023,Top,Top,Multicolor / White / Green / Pink,data/second_hand_clothing/images/train-100.webp
train-1000,1000,train,922,Women,Ladies,Tights,Not in the list,Beige / Black,S,Tight,Other,100% polyester,All,,Export,<50,3,4,,Minor,,2024_04_25_06_31_13,station1,apr2024,Tights,Tights,Beige / Black,data/second_hand_clothing/images/train-1000.webp
train-10004,10004,train,9023,Women,Ladies,Shorts,Gina Tricot,Blue / White,34,Regular,,100% cotton,Summer,Denim,Export,<50,2,5,,Minor,,2023_06_01_09_40_10,station1,jun2023,Gina Tricot Shorts,Shorts,Blue / White,data/second_hand_clothing/images/train-10004.webp
train-10005,10005,train,9024,Women,Ladies,T-shirt,Only,White / Black,S,Regular,Other,100% cotton,All,,Export,<50,2,5,,Minor,,2023_06_01_09_43_19,station1,jun2023,Only T-shirt,T-shirt,White / Black,data/second_hand_clothing/images/train-10005.webp
train-10007,10007,train,9025,Women,Ladies,Trousers,Nly Trend,Black,S,Regular,,100% polyester,All,Sports,Export,<50,2,3,,,,2023_06_01_09_53_31,station1,jun2023,Nly Trend Trousers,Trousers,Black,data/second_hand_clothing/images/train-10007.webp
train-10008,10008,train,9026,Women,Ladies,Trousers,Adidas,Black / White,S,Regular,,100% polyester,All,Sports,Export,<50,2,1,,,,2023_06_01_09_56_17,station1,jun2023,Adidas Trousers,Trousers,Black / White,data/second_hand_clothing/images/train-10008.webp
train-10009,10009,train,9027,Women,Ladies,Hoodie,Adidas,Black / White,34,Regular,Logo print,100% cotton,All,Sports,Export,<50,2,1,,,Minor,2023_06_01_10_10_32,station1,jun2023,Adidas Hoodie,Hoodie,Black / White,data/second_hand_clothing/images/train-10009.webp
train-1001,1001,train,923,Women,Ladies,Jacket,Not in the list,Orange,38,C-collar,Other,100% bomull,All,,Reuse,50-100,4,5,,Minor,,2024_04_25_06_37_00,station1,apr2024,Jacket,Jacket,Orange,data/second_hand_clothing/images/train-1001.webp
